unique_id,ds,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-hi-90,Moirai,Moirai-lo-90,Moirai-hi-90,Prophet,Prophet-lo-90,Prophet-hi-90
all,2023-02-19,3817.592137075436,-5313.259644943438,12948.443919094309,3233.5405,1202.4331,8964.493,8225.527266735098,1022.3412127963538,16312.72533007973
all,2023-02-20,3459.2401782251113,-5807.903352904377,12726.383709354599,2664.5251,957.99414,6928.0996,7254.56946374976,-318.18398278494243,14364.853525386254
all,2023-02-21,2694.532116819392,-6697.73435521313,12086.798588851912,2754.796,1049.1577,6657.868,6594.751108406739,-1492.889880584532,13552.274803996774
all,2023-02-22,3262.133994361129,-6215.385340204473,12739.653328926732,3563.9927,1867.9468,10089.836,7558.578486244236,141.71851462066755,15285.372652941023
all,2023-02-23,4456.856756570425,-5096.542694879836,14010.256208020686,3972.3076,1630.0723,9055.725,9351.134496304876,2865.5792424268193,16933.747582507494
all,2023-02-24,4342.6501047812835,-5272.83561838288,13958.135827945447,3543.2166,1653.7661,8888.2295,8591.315990659721,1153.9729555785043,16405.296077870295
all,2023-02-25,3719.651536089592,-5942.642947447313,13381.946019626497,3258.7405,905.6636,7065.6143,8427.521103734234,1397.2963325859785,16090.08258796459
all,2023-02-26,3772.6201546992784,-5963.127709008837,13508.368018407393,3193.587,1237.0681,10034.201,8159.935947149503,413.1491498153708,15325.377159922315
all,2023-02-27,3470.0088686142813,-6390.913172537226,13330.930909765788,2982.438,430.60986,6824.881,7512.264892675123,121.13546451714805,15005.951862633949
all,2023-02-28,2780.061004462117,-7195.802489232607,12755.92449815684,2898.6707,1005.1221,7726.4883,7176.57909530225,-840.634981802213,14713.457166390479
all,2023-03-01,3304.204221632399,-6750.63849751172,13359.046940776518,3331.263,1092.5947,7370.5625,8458.609450898293,951.1804913675533,15386.78031969055
all,2023-03-02,4419.512414634365,-5705.947920256024,14544.972749524753,3537.6707,1330.459,9502.162,10556.672508249208,3289.4199740932318,18187.150723828006
all,2023-03-03,4309.053716983237,-5876.23745741044,14494.344891376913,3202.5752,1290.2483,6679.7725,10083.04692438664,2918.769455078784,17708.49780117778
all,2023-03-04,3697.0170342916385,-6535.251162737475,13929.285231320753,3168.7207,1153.155,11094.65,10179.798279612318,2304.2672678537588,17923.796326200954
all,2023-03-05,3733.315114759771,-6569.620240266806,14036.250469786348,2793.9373,911.5386,7696.8643,10141.198538523913,2466.3842883612656,17589.013631955953
all,2023-03-06,3480.9123192839675,-6937.86475198277,13899.689390550704,2351.8525,603.9155,9276.094,9685.581377805227,2122.053472853357,17201.696066818058
all,2023-03-07,2859.500178461345,-7665.6829432188315,13384.683300141522,2674.2405,390.70752,6080.143,9500.305190418609,2057.78334540626,17317.603470998998
all,2023-03-08,3342.7737347925586,-7256.208286980002,13941.755756565119,3179.8774,740.90283,12194.217,10887.147346635029,3089.287705767598,18641.473044044404
all,2023-03-09,4382.762505760555,-6282.518563024367,15048.043574545476,3654.929,1879.3896,13378.471,13041.315908321141,5603.0184964344035,20584.781271489683
all,2023-03-10,4276.070142818018,-6447.158033979469,14999.298319615506,3090.7476,895.4839,8999.582,12572.89440963532,4636.66342395093,20175.92074563395
all,2023-03-11,3677.1407602858853,-7093.219059461826,14447.500580033597,3380.38,1108.8276,13154.311,12622.715939470676,4940.501686055641,20008.817106147
all,2023-03-12,3699.1404651670787,-7139.46601151082,14537.746941844976,2885.845,1124.5664,6123.414,12484.811664294233,4840.182565354723,19899.259092891578
all,2023-03-13,3491.8477216365077,-7454.626692033398,14438.322135306415,2379.7222,529.8115,5723.1304,11878.274325549723,4324.086718970673,19286.879591687404
all,2023-03-14,2933.189817250317,-8112.416212137359,13978.795846637993,2364.9915,414.3999,5205.8555,11492.20831230839,3450.821341853873,19397.600650712746
all,2023-03-15,3378.0798111382005,-7736.978789500805,14493.138411777207,3056.5942,675.4292,9407.464,12631.09016341684,4983.263947154004,20266.16953821271
all,2023-03-16,4346.7438910996825,-6831.014639316745,15524.50242151611,3676.9822,1768.9514,13169.9,14493.726445503999,6417.687432206271,21812.935238876817
all,2023-03-17,4243.831737813855,-6990.265825738993,15477.929301366705,3555.672,1512.3599,12121.442,13694.625827808488,6107.346454781595,21410.636900609676
all,2023-03-18,3659.7901255213833,-7621.559918030869,14941.140169073637,2784.4385,846.2046,10169.646,13379.783225726735,5691.2547998926275,20686.996782082224
all,2023-03-19,3669.601471588126,-7677.848740509915,15017.051683686168,3193.6758,1442.5085,7124.418,12849.023177565605,5650.688386893286,20431.30119428884
all,2023-03-20,3502.7267500786784,-7945.683747580844,14951.137247738201,2593.0715,611.13184,7123.19,11827.745354863297,3999.750487577474,19307.66824735485
all,2023-03-21,3001.459096042649,-8539.801892370662,14542.72008445596,2269.971,551.09814,5452.9395,11011.74645675426,3005.580855536493,19004.04465232476
all,2023-03-22,3410.3483476928895,-8196.671035619027,15017.367731004808,3064.001,1290.2742,9102.176,11712.445212401346,3784.19884928365,18880.585875139364
all,2023-03-23,4311.571271133233,-7355.110080003027,15978.252622269492,3309.9443,1242.0737,11546.033,13135.700459378737,5518.5640111247985,21154.391974273753
all,2023-03-24,4212.447111110763,-7509.174467107197,15934.068689328724,3457.975,1144.2839,9622.93,11903.042219744164,3869.442994370333,19053.478461011262
all,2023-03-25,3644.747092663287,-8124.203034500635,15413.697219827209,3007.388,804.34375,8644.132,11167.31675331458,3904.5233729736688,19280.645190107934
all,2023-03-26,3644.2425610319797,-8188.8729237911475,15477.358045855108,2824.4226,1047.022,7186.676,10234.895792842522,2489.808200712115,18113.025213982393
all,2023-03-27,3513.474141640126,-8414.551240584973,15441.499523865226,2492.682,1092.6963,9361.035,8837.295764247468,1388.219452403891,16455.21149340181
all,2023-03-28,3064.6256757848405,-8950.76926694896,15080.020618518642,2187.9,687.9121,10698.57,7675.883939812304,-667.6596251003629,15310.497164716748
all,2023-03-29,3439.7939157307014,-8638.185431073576,15517.773262534978,2711.9858,974.355,7855.301,8067.000679327632,324.830667813847,16270.034081839054
all,2023-03-30,4277.339403541007,-7857.709786354468,16412.38859343648,2963.7083,967.1074,9313.535,9220.689835962497,1362.665617540923,17293.242552801392
all,2023-03-31,4182.0037710523675,-8006.748787107638,16370.756329212374,2965.6045,610.1084,10543.073,7761.858989879362,-219.50781815956617,15214.009151380047
all,2023-04-01,3631.807636559406,-8604.299460261991,15867.914733380803,2950.874,692.41113,6080.6255,6845.871824496827,-1067.9717470554351,14413.600361595516
all,2023-04-02,3622.6447854482212,-8675.86086832782,15921.150439224262,2561.8643,1093.2329,6252.8965,5780.723753333592,-2134.622014728595,13580.2813719818
all,2023-04-03,3524.026383325754,-8864.041960559662,15912.09472721117,2364.344,1047.6909,5789.9023,4298.647054767736,-3558.651117042248,11717.404467599594
all,2023-04-04,3122.9953300664747,-9347.618157444691,15593.60881757764,2578.909,790.61084,7772.3413,3100.8224628462403,-4771.100622391059,10447.502313614774
all,2023-04-05,3466.619887127079,-9063.825712729391,15997.065486983549,2813.7317,841.56396,14253.112,3502.5259207570944,-4510.442896576025,11459.262399453728
all,2023-04-06,4244.125149561706,-8341.157739830887,16829.408038954298,2852.4355,1175.1628,7034.4683,4711.901693746041,-3347.841954381934,12932.208147509711
all,2023-04-07,4152.570535991445,-8485.306235618638,16790.447307601527,2826.8757,761.9004,5921.613,3351.182219347872,-4360.040471248984,11175.436999091162
all,2023-04-08,3620.7811876297637,-9064.424319000304,16305.986694259831,3161.5579,1070.3936,7510.714,2572.3553560215546,-5249.351527663406,10414.539577475702
all,2023-04-09,3604.4234046839433,-9141.550496135815,16350.3973055037,2586.9878,942.7656,7902.5825,1679.4281605229255,-6362.999162514408,9913.723196523997
all,2023-04-10,3534.3305013268737,-9296.445232305974,16365.106234959723,2091.3464,254.99121,5660.3467,400.13120172901654,-7574.549882036957,7947.3271060825
all,2023-04-11,3176.8616937841375,-9732.181599735866,16085.904987304142,1809.2803,-13.154785,3733.1948,-569.2621042096742,-8369.286440319103,7373.135249036456
all,2023-04-12,3491.0186212793483,-9475.450968837267,16457.488211395965,2526.5017,649.7119,6352.5464,81.32495415243545,-8563.934366967713,7753.525875375382
all,2023-04-13,4211.989359053773,-8807.37857389807,17231.357292005614,2906.321,536.2031,5725.9893,1554.662439861239,-6447.901358957032,9158.447002490877
all,2023-04-14,4124.1997275845115,-8946.754201814409,17195.15365698343,2940.4448,1206.7532,8157.372,467.551088096883,-7522.626321618273,7863.358267573289
all,2023-04-15,3611.490063553817,-9506.715592571574,16729.695719679206,3092.7031,873.374,8206.965,-33.3951245283597,-8196.034790470718,7404.662798787435
all,2023-04-16,3589.225587523514,-9588.231902231873,16766.683077278904,2406.2883,863.94727,7532.4014,-649.3745996324412,-8410.379316969658,7482.078038000981
all,2023-04-17,3544.342946302333,-9713.651196039185,16802.33708864385,1581.2393,-594.9536,4676.4014,-1657.59031769998,-9366.865344328984,6170.8921213703
all,2023-04-18,3226.506118795308,-10105.939271306775,16558.951508897393,2335.2395,555.8926,7280.6694,-2366.3363119968176,-10231.55237808603,5512.319117789438
all,2023-04-19,3513.1717025331536,-9874.5820607321,16900.925465798406,2615.748,378.5381,6514.6494,-1469.6542305835962,-9488.373749621886,6594.111239709267
all,2023-04-20,4180.978604102444,-9257.976786550249,17619.933994755134,2808.8855,829.6782,5418.7227,231.62691351787942,-8017.063608089576,7999.400839652757
all,2023-04-21,4096.929162839597,-9392.686409996617,17586.54473567581,2409.309,807.99365,6524.4375,-648.7157922321501,-8765.02714991446,7851.555677929164
all,2023-04-22,3603.7688944256047,-9932.972248431535,17140.510037282744,2775.5676,1174.2329,6622.457,-966.4753808545556,-9754.952703832927,6210.318771450801
all,2023-04-23,3576.7282289735376,-10017.844543086036,17171.301001033113,2255.6438,227.17725,5558.3164,-1424.614858014072,-9662.734305743814,6209.860337441033
all,2023-04-24,3554.02856907703,-10117.23956073582,17225.29669888988,1726.6636,505.13867,4377.103,-2301.449201740372,-10293.816497432013,5473.221384216161
all,2023-04-25,3272.197623122677,-10470.09871891035,17014.493965155703,1820.898,241.22363,5395.973,-2905.7369492938915,-11195.673079338923,5230.78027489813
all,2023-04-26,3533.2502191510234,-10262.47808027049,17328.978518572538,2367.598,883.8286,6216.668,-1931.3565718077857,-10140.863875585848,6293.8463535225455
all,2023-04-27,4151.126770639869,-9694.308032115845,17996.561573395586,2377.4893,621.1875,6108.802,-178.37978447425874,-8347.351700662859,7597.3076824699365
all,2023-04-28,4070.783960209647,-9824.45228364051,17966.020204059805,2360.8296,1014.86523,5904.1426,-1031.7241308564624,-9041.738084460152,7272.048045595368
all,2023-04-29,3597.464045901221,-10344.725432602989,17539.653524405432,2175.996,729.1665,6527.071,-1345.3862180674728,-9257.470869943721,6882.89726911945
all,2023-04-30,3566.6358814831387,-10432.048234184836,17565.319997151113,1883.2568,608.521,4165.7695,-1820.107800614183,-10326.077920132144,6322.946185222738
all,2023-05-01,3563.3596812617616,-10508.544550203262,17635.263912726783,1749.2051,81.88135,4863.183,-2731.631308688259,-11186.784196263647,5991.852152471355
all,2023-05-02,3314.192921498901,-10825.654858819811,17454.040701817612,1691.7603,210.43213,5514.296,-3385.870219643706,-12030.971479424608,4427.904646542391
all,2023-05-03,3551.4150758626897,-10640.192504631143,17743.022656356523,2022.2356,536.61084,4717.759,-2473.667365965055,-11231.56886150137,5085.187340903963
all,2023-05-04,4122.456517158752,-10117.531458031044,18362.44449234855,2266.731,609.35156,5330.731,-791.9512086125924,-9154.021777265401,7112.2630813016385
all,2023-05-05,4045.778174089043,-10243.207926714455,18334.76427489254,2485.1135,773.3701,6442.874,-1722.4703373484772,-9874.44402742817,6108.829749082895
all,2023-05-06,3592.4330442741916,-10743.291285433545,17928.15737398193,2090.6335,410.1494,3747.939,-2116.1055911826697,-10431.361808350322,6518.4509408930935
all,2023-05-07,3558.6787973960677,-10832.276202613755,17949.63379740589,1888.5112,175.18457,3765.9072,-2670.610153731703,-11451.758400489547,5622.391449265061
all,2023-05-08,3572.315195471991,-10888.703438365279,18033.33382930926,1358.7134,191.11426,3377.5547,-3658.932560000285,-11914.546857498824,4577.340812507669
all,2023-05-09,3352.736526181182,-11173.434413436305,17878.907465798668,1691.7056,133.2583,5754.2896,-4384.446574478897,-12958.051961090745,4041.3075711069273
all,2023-05-10,3567.8173329508786,-11008.615227988212,18144.24989388997,2035.5525,-638.8887,6010.4863,-3535.759845832404,-12651.017898670096,5425.300631078838
all,2023-05-11,4094.980609209104,-10528.648843029729,18718.610061447936,1960.2427,-41.44043,6319.262,-1907.91045298212,-10160.8861665026,6409.374660832828
all,2023-05-12,4021.916271173508,-10649.954287981265,18693.78683032828,2150.4177,423.94043,5306.3203,-2881.130979208886,-11489.163463236118,5280.767082601299
all,2023-05-13,3588.5440068786834,-11129.810894568787,18306.898908326155,1874.3103,-231.16064,3668.1108,-3305.1791792701397,-11754.27283843865,4492.07255253397
all,2023-05-14,3552.6110796079734,-11219.775525304074,18324.99768452002,1772.6924,-729.7378,5305.1167,-3877.085562203745,-12336.292445833036,5341.823119246691
all,2023-05-15,3580.8798400101396,-11258.693491380047,18420.453171400328,1459.8528,-115.95508,2958.4785,-4869.473082272655,-12580.622254447797,3500.6270784971193
all,2023-05-16,3388.0609080194745,-11514.12965600083,18290.25147203978,1387.9846,-125.84668,2820.8708,-5585.773426417321,-14201.886682919187,2375.219565666028
all,2023-05-17,3582.5985656576368,-11368.50454178562,18533.70167310089,1647.8506,-511.84766,5230.65,-4715.0125820988005,-13720.834291820556,3826.5977669331232
all,2023-05-18,4068.7031379755545,-10928.534341057733,19065.940617008844,2073.192,319.99854,4002.7578,-3052.975801224995,-12529.35903246968,5967.023723896383
all,2023-05-19,3999.194461284751,-11045.566193391654,19043.95511596116,1752.5107,-471.33154,6554.679,-3980.932786301769,-11902.625697520783,4203.92838409064
all,2023-05-20,3585.675080734398,-11505.28104175089,18676.631203219687,1450.4846,-214.62549,4315.7935,-4349.923504933399,-13323.33957148736,4611.1142300753045
all,2023-05-21,3548.208937141962,-11595.638498175498,18692.05637245942,1314.065,-377.39258,2860.1616,-4858.456407708162,-13467.95171564786,3113.080181595916
all,2023-05-22,3589.0434430731484,-11619.360541874634,18797.447428020932,1165.8855,-253.97119,2564.5234,-5780.775763312987,-15242.570365900492,2668.518825820885
all,2023-05-23,3420.386708736424,-11848.324408947738,18689.097826420584,973.73193,-540.7373,2713.9001,-6422.024147109926,-15156.189531657948,2023.7347009970772
all,2023-05-24,3595.8912384509986,-11720.511817169821,18912.29429407182,1489.1682,-350.82227,5583.975,-5472.9742989315655,-14731.3337287361,2792.6470066905986
all,2023-05-25,4043.6206308416577,-11317.957409304829,19405.198670988142,1744.0852,-263.021,3488.0977,-3731.141941209299,-12696.000513657687,4787.948010568982
all,2023-05-26,3977.6018944407633,-11430.814747971192,19386.01853685272,1497.5178,-293.146,3653.5796,-4579.461764492105,-13218.474836920816,3939.732097135124
all,2023-05-27,3583.713891906962,-11870.578229590335,19038.006013404258,1629.0864,-188.86963,3375.099,-4870.528238693825,-13689.725397160018,3438.5812859887524
all,2023-05-28,3545.2690421512666,-11960.827353487493,19051.365437790027,1574.7651,111.87842,3321.3545,-5304.254118429398,-14130.0158609112,3201.463798088707
all,2023-05-29,3596.800281751463,-11971.441407355444,19165.04197085837,1257.2681,-387.01025,3156.8142,-6156.104266458084,-15668.231686821571,2329.2992114214708
all,2023-05-30,3449.922996276179,-12176.514327641355,19076.360320193715,1201.3298,-180.74219,2871.702,-6732.23153882985,-16119.737316178804,1997.4575918030691
all,2023-05-31,3607.8190893757874,-12065.200794855857,19280.83897360743,1670.8386,410.49854,3185.7334,-5724.189439519818,-15093.812519007643,2738.1424594620294
all,2023-06-01,4019.723061460143,-11697.600707064088,19737.046829984374,1649.0933,-239.77881,3850.8381,-3930.0334051104364,-12797.717922609634,4934.090391758064
all,2023-06-02,3957.121735170624,-11806.38484266131,19720.62831300256,1448.979,-237.97705,3924.7812,-4732.992973283814,-14057.042138753477,3811.9734060069213
